Source,Target,Type,Id,Label
ARCHAEOLOGICAL HERITAGE.E27:TIME-SPAN_PHASE.E52,ARCHAEOLOGICAL HERITAGE.E27:TO DATE.E49,Directed,395,P78
ARCHAEOLOGICAL HERITAGE.E27:CONDITION TYPE.E55,ARCHAEOLOGICAL HERITAGE.E27:CONDITION AUTHORITY DOCUMENT.E32,Directed,396,-P71
ARCHAEOLOGICAL HERITAGE.E27:SCIENTIFIC DATING EVENT.E5,ARCHAEOLOGICAL HERITAGE.E27:SCIENTIFIC DATING_EVENT DATE RANGE.E52,Directed,397,P4
ARCHAEOLOGICAL HERITAGE.E27:SCIENTIFIC DATING EVENT.E5,ARCHAEOLOGICAL HERITAGE.E27:SCIENTIFIC DATING ATTRIBUTE ASSIGNMENT.E13,Directed,398,-P140
ARCHAEOLOGICAL HERITAGE.E27:SPATIAL COORDINATES_GEOMETRY.E47,ARCHAEOLOGICAL HERITAGE.E27:GEOMETRY QUALIFIER.E55,Directed,402,P2
ARCHAEOLOGICAL HERITAGE.E27:PHASE TYPE ASSIGNMENT.E17,ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE (SITE) TYPE.E55,Directed,405,P42
ARCHAEOLOGICAL HERITAGE.E27:PHASE TYPE ASSIGNMENT.E17,ARCHAEOLOGICAL HERITAGE.E27:CENTURY.E55,Directed,406,P42
ARCHAEOLOGICAL HERITAGE.E27:PHASE TYPE ASSIGNMENT.E17,ARCHAEOLOGICAL HERITAGE.E27:TIME-SPAN_PHASE.E52,Directed,407,P4
ARCHAEOLOGICAL HERITAGE.E27:PHASE TYPE ASSIGNMENT.E17,ARCHAEOLOGICAL HERITAGE.E27:CULTURAL PERIOD.E55,Directed,408,P42
ARCHAEOLOGICAL HERITAGE.E27:PHASE TYPE ASSIGNMENT.E17,285,Directed,504,P2
ARCHAEOLOGICAL HERITAGE.E27:SCIENTIFIC DATING_EVENT DATE RANGE.E52,ARCHAEOLOGICAL HERITAGE.E27:SCIENTIFIC DATE.E49,Directed,409,P78
ARCHAEOLOGICAL HERITAGE.E27:PROTECTION EVENT.E65,ARCHAEOLOGICAL HERITAGE.E27:TYPE OF DESIGNATION OR PROTECTION.E55,Directed,410,P2
ARCHAEOLOGICAL HERITAGE.E27:PROTECTION EVENT.E65,ARCHAEOLOGICAL HERITAGE.E27:TIME SPAN OF DESIGNATION AND PROTECTION.E52,Directed,411,P4
ARCHAEOLOGICAL HERITAGE.E27:SCIENTIFIC DATING ATTRIBUTE ASSIGNMENT.E13,ARCHAEOLOGICAL HERITAGE.E27:SCIENTIFIC DATING METHOD.E55,Directed,412,P2
ARCHAEOLOGICAL HERITAGE.E27:EXTERNAL RESOURCE.E1,ARCHAEOLOGICAL HERITAGE.E27:EXTERNAL XREF.E42,Directed,414,P1
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,ARCHAEOLOGICAL HERITAGE.E27:SUBJECT.E55,Directed,420,P2
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,ARCHAEOLOGICAL HERITAGE.E27:MEASUREMENT TYPE.E55,Directed,422,P43
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,ARCHAEOLOGICAL HERITAGE.E27:CONDITION ASSESSMENT.E14,Directed,423,-P34
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,ARCHAEOLOGICAL HERITAGE.E27:PRODUCTION.E12,Directed,425,-P108
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,ARCHAEOLOGICAL HERITAGE.E27:ABSOLUTE DATING EVENT.E5,Directed,426,-P12
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,ARCHAEOLOGICAL HERITAGE.E27:INSCRIPTION.E34,Directed,427,P128
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,ARCHAEOLOGICAL HERITAGE.E27:SUMMARY.E62,Directed,428,P3
