conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
ADMINISTRATIVE SUBDIVISION TYPE AUTHORITY DOCUMENT.E32_1,Flur,,ADMINISTRATIVE SUBDIVISION AUTHORITY DOCUMENT.csv,Index,i3mainz
ADMINISTRATIVE SUBDIVISION TYPE AUTHORITY DOCUMENT.E32_2,Gemarkung,,ADMINISTRATIVE SUBDIVISION AUTHORITY DOCUMENT.csv,Index,i3mainz
ADMINISTRATIVE SUBDIVISION TYPE AUTHORITY DOCUMENT.E32_3,Ortsteil,,ADMINISTRATIVE SUBDIVISION AUTHORITY DOCUMENT.csv,Index,i3mainz
ADMINISTRATIVE SUBDIVISION TYPE AUTHORITY DOCUMENT.E32_4,Gemeinde,,ADMINISTRATIVE SUBDIVISION AUTHORITY DOCUMENT.csv,Index,i3mainz
ADMINISTRATIVE SUBDIVISION TYPE AUTHORITY DOCUMENT.E32_5,Kreis,,ADMINISTRATIVE SUBDIVISION AUTHORITY DOCUMENT.csv,Index,i3mainz
