conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
MEASUREMENT_TYPE_1,Laenge,,MEASUREMENT TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
MEASUREMENT_TYPE_2,Tiefe,,MEASUREMENT TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
MEASUREMENT_TYPE_3,Breite,,MEASUREMENT TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
MEASUREMENT_TYPE_4,Gewicht,,MEASUREMENT TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
MEASUREMENT_TYPE_4_1,Tonnage,,MEASUREMENT_TYPE_4,Index,i3mainz
MEASUREMENT_TYPE_5,Hoehe,,MEASUREMENT TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
